key,chunk_idx,start_sec,end_sec,speaker_gap,local_si_sdr_gap,speaker_sim_target,speaker_sim_interferer,chunk_label
5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,0,0.0,1.0,-0.2441262699491435,-58.118103144526856,0.41734297736322373,0.6614692473123672,true_local_swap
5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,1,0.5,1.5,-0.1949919125182374,-50.65824332390885,0.4100941635605832,0.6050860760788206,true_local_swap
5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,2,1.0,2.0,-0.003407478264370045,-51.75923264564595,0.5365266692621424,0.5399341475265125,true_local_swap
5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,3,1.5,2.5,0.006533562227521883,-68.55074057487401,0.5764018090837012,0.5698682468561793,signal_mismatch
5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,4,2.0,3.0,-0.02920681179760809,-67.72877789313017,0.4839115642086401,0.5131183760062482,true_local_swap
5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,5,2.5,3.5,-0.061760036902235194,-63.311933372182196,0.36236851682718413,0.4241285537294193,true_local_swap
5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,6,3.0,4.0,-0.10617816235855349,-57.3245360792923,0.441747418151746,0.5479255805102995,true_local_swap
5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,7,3.5,4.5,-0.14633709771838882,-55.697600446816764,0.3809796722617215,0.5273167699801103,true_local_swap
5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,8,4.0,5.0,-0.16892173548455663,-82.3802846057601,0.32106664134668783,0.48998837683124447,true_local_swap
5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,9,4.5,5.5,-0.14294767093865407,-68.13119103106311,0.3599435019029977,0.5028911728416517,true_local_swap
5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,10,5.0,6.0,-0.048386006579658414,-63.51930984426444,0.3600332962985559,0.4084193028782143,true_local_swap
5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,11,5.5,6.5,-0.08611512011912825,-60.02497478424935,0.3827828688358893,0.46889798895501755,true_local_swap
5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,12,6.0,7.0,-0.2300791694401647,-65.29243558977569,0.2380518567635448,0.4681310262037095,true_local_swap
5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,13,6.5,7.5,-0.11647131806127492,-61.81997366501363,0.4254012916838535,0.5418726097451284,true_local_swap
5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,14,7.0,8.0,-0.20831797351944814,-55.73783339400421,0.30490277425017254,0.5132207477696207,true_local_swap
5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,15,7.5,8.5,-0.24331123600420562,-84.62756750122792,0.32164080224728947,0.5649520382514951,true_local_swap
5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,16,8.0,9.0,-0.11909520387877709,-54.68453219786002,0.36117076151437777,0.48026596539315486,true_local_swap
