key,mix_path,target_path,interferer_path,aux_path,est_path,sample_rate,num_samples,si_snr_mix,si_snr_est,si_snri,si_sdr_mix,si_sdr_est,si_sdri,error
1089-134686-0000_121-127105-0031__T1__1089-1089-134686-0000__HSIMV3__8230-8230-279154-0016__SIRm5,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/mix_clean/1089-134686-0000_121-127105-0031__T1__1089-1089-134686-0000__HSIMV3__8230-8230-279154-0016__SIRm5.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/s1/1089-134686-0000_121-127105-0031__T1__1089-1089-134686-0000__HSIMV3__8230-8230-279154-0016__SIRm5.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/s2/1089-134686-0000_121-127105-0031__T1__1089-1089-134686-0000__HSIMV3__8230-8230-279154-0016__SIRm5.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1089/134686/1089-134686-0017.flac,/data/tse_cue_project/diagnostics/real_tse_tfmap_context_20260607/bundles/tfmap_context_hsimv3_sirm5db/full_infer/est_wavs/1089-134686-0000_121-127105-0031__T1__1089-1089-134686-0000__HSIMV3__8230-8230-279154-0016__SIRm5.wav,16000,166912,-4.596921135288568,9.167153993247116,13.764075128535683,-4.596921135288568,9.167153993247116,13.764075128535683,
1089-134686-0000_121-127105-0031__T2__121-121-127105-0031__HSIMV3__237-237-126133-0024__SIRm5,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/mix_clean/1089-134686-0000_121-127105-0031__T2__121-121-127105-0031__HSIMV3__237-237-126133-0024__SIRm5.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/s1/1089-134686-0000_121-127105-0031__T2__121-121-127105-0031__HSIMV3__237-237-126133-0024__SIRm5.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/s2/1089-134686-0000_121-127105-0031__T2__121-121-127105-0031__HSIMV3__237-237-126133-0024__SIRm5.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/121/121726/121-121726-0001.flac,/data/tse_cue_project/diagnostics/real_tse_tfmap_context_20260607/bundles/tfmap_context_hsimv3_sirm5db/full_infer/est_wavs/1089-134686-0000_121-127105-0031__T2__121-121-127105-0031__HSIMV3__237-237-126133-0024__SIRm5.wav,16000,154624,-4.9409315819693065,15.14294495237544,20.083876534344743,-4.9409315819693065,15.14294495237544,20.083876534344743,
1089-134686-0000_260-123440-0016__T1__1089-1089-134686-0000__HSIMV3__8230-8230-279154-0016__SIRm5,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/mix_clean/1089-134686-0000_260-123440-0016__T1__1089-1089-134686-0000__HSIMV3__8230-8230-279154-0016__SIRm5.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/s1/1089-134686-0000_260-123440-0016__T1__1089-1089-134686-0000__HSIMV3__8230-8230-279154-0016__SIRm5.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/s2/1089-134686-0000_260-123440-0016__T1__1089-1089-134686-0000__HSIMV3__8230-8230-279154-0016__SIRm5.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1089/134686/1089-134686-0017.flac,/data/tse_cue_project/diagnostics/real_tse_tfmap_context_20260607/bundles/tfmap_context_hsimv3_sirm5db/full_infer/est_wavs/1089-134686-0000_260-123440-0016__T1__1089-1089-134686-0000__HSIMV3__8230-8230-279154-0016__SIRm5.wav,16000,166912,-4.596921135288568,9.192690888523751,13.78961202381232,-4.596921135288568,9.192690888523751,13.78961202381232,
1089-134686-0000_260-123440-0016__T2__260-260-123440-0016__HSIMV3__672-672-122797-0017__SIRm5,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/mix_clean/1089-134686-0000_260-123440-0016__T2__260-260-123440-0016__HSIMV3__672-672-122797-0017__SIRm5.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/s1/1089-134686-0000_260-123440-0016__T2__260-260-123440-0016__HSIMV3__672-672-122797-0017__SIRm5.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/s2/1089-134686-0000_260-123440-0016__T2__260-260-123440-0016__HSIMV3__672-672-122797-0017__SIRm5.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/260/123440/260-123440-0019.flac,/data/tse_cue_project/diagnostics/real_tse_tfmap_context_20260607/bundles/tfmap_context_hsimv3_sirm5db/full_infer/est_wavs/1089-134686-0000_260-123440-0016__T2__260-260-123440-0016__HSIMV3__672-672-122797-0017__SIRm5.wav,16000,77056,-5.1703414655554925,15.514677202011663,20.68501866756716,-5.1703414655554925,15.514677202011663,20.68501866756716,
1089-134686-0000_61-70968-0047__T1__1089-1089-134686-0000__HSIMV3__8230-8230-279154-0016__SIRm5,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/mix_clean/1089-134686-0000_61-70968-0047__T1__1089-1089-134686-0000__HSIMV3__8230-8230-279154-0016__SIRm5.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/s1/1089-134686-0000_61-70968-0047__T1__1089-1089-134686-0000__HSIMV3__8230-8230-279154-0016__SIRm5.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/s2/1089-134686-0000_61-70968-0047__T1__1089-1089-134686-0000__HSIMV3__8230-8230-279154-0016__SIRm5.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1089/134686/1089-134686-0017.flac,/data/tse_cue_project/diagnostics/real_tse_tfmap_context_20260607/bundles/tfmap_context_hsimv3_sirm5db/full_infer/est_wavs/1089-134686-0000_61-70968-0047__T1__1089-1089-134686-0000__HSIMV3__8230-8230-279154-0016__SIRm5.wav,16000,166912,-4.596921135288568,9.153524854968545,13.750445990257113,-4.596921135288568,9.153524854968545,13.750445990257113,
1089-134686-0000_61-70968-0047__T2__61-61-70968-0047__HSIMV3__8230-8230-279154-0039__SIRm5,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/mix_clean/1089-134686-0000_61-70968-0047__T2__61-61-70968-0047__HSIMV3__8230-8230-279154-0039__SIRm5.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/s1/1089-134686-0000_61-70968-0047__T2__61-61-70968-0047__HSIMV3__8230-8230-279154-0039__SIRm5.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/s2/1089-134686-0000_61-70968-0047__T2__61-61-70968-0047__HSIMV3__8230-8230-279154-0039__SIRm5.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/61/70970/61-70970-0000.flac,/data/tse_cue_project/diagnostics/real_tse_tfmap_context_20260607/bundles/tfmap_context_hsimv3_sirm5db/full_infer/est_wavs/1089-134686-0000_61-70968-0047__T2__61-61-70968-0047__HSIMV3__8230-8230-279154-0039__SIRm5.wav,16000,73344,-5.027838267574303,13.58955087877204,18.61738914634634,-5.027838267574303,13.58955087877204,18.61738914634634,
1089-134686-0002_7729-102255-0037__T1__1089-1089-134686-0002__HSIMV3__8230-8230-279154-0021__SIRm5,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/mix_clean/1089-134686-0002_7729-102255-0037__T1__1089-1089-134686-0002__HSIMV3__8230-8230-279154-0021__SIRm5.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/s1/1089-134686-0002_7729-102255-0037__T1__1089-1089-134686-0002__HSIMV3__8230-8230-279154-0021__SIRm5.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/s2/1089-134686-0002_7729-102255-0037__T1__1089-1089-134686-0002__HSIMV3__8230-8230-279154-0021__SIRm5.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1089/134686/1089-134686-0017.flac,/data/tse_cue_project/diagnostics/real_tse_tfmap_context_20260607/bundles/tfmap_context_hsimv3_sirm5db/full_infer/est_wavs/1089-134686-0002_7729-102255-0037__T1__1089-1089-134686-0002__HSIMV3__8230-8230-279154-0021__SIRm5.wav,16000,104960,-5.023748545074717,12.738093825320668,17.761842370395385,-5.023748545074717,12.738093825320668,17.761842370395385,
1089-134686-0002_7729-102255-0037__T2__7729-7729-102255-0037__HSIMV3__7176-7176-88083-0018__SIRm5,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/mix_clean/1089-134686-0002_7729-102255-0037__T2__7729-7729-102255-0037__HSIMV3__7176-7176-88083-0018__SIRm5.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/s1/1089-134686-0002_7729-102255-0037__T2__7729-7729-102255-0037__HSIMV3__7176-7176-88083-0018__SIRm5.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/s2/1089-134686-0002_7729-102255-0037__T2__7729-7729-102255-0037__HSIMV3__7176-7176-88083-0018__SIRm5.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/7729/102255/7729-102255-0023.flac,/data/tse_cue_project/diagnostics/real_tse_tfmap_context_20260607/bundles/tfmap_context_hsimv3_sirm5db/full_infer/est_wavs/1089-134686-0002_7729-102255-0037__T2__7729-7729-102255-0037__HSIMV3__7176-7176-88083-0018__SIRm5.wav,16000,167168,-4.92883475699988,11.950572634402988,16.879407391402868,-4.92883475699988,11.950572634402988,16.879407391402868,
1089-134686-0004_1284-1180-0027__T1__1089-1089-134686-0004__HSIMV3__8230-8230-279154-0039__SIRm5,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/mix_clean/1089-134686-0004_1284-1180-0027__T1__1089-1089-134686-0004__HSIMV3__8230-8230-279154-0039__SIRm5.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/s1/1089-134686-0004_1284-1180-0027__T1__1089-1089-134686-0004__HSIMV3__8230-8230-279154-0039__SIRm5.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/s2/1089-134686-0004_1284-1180-0027__T1__1089-1089-134686-0004__HSIMV3__8230-8230-279154-0039__SIRm5.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1089/134686/1089-134686-0017.flac,/data/tse_cue_project/diagnostics/real_tse_tfmap_context_20260607/bundles/tfmap_context_hsimv3_sirm5db/full_infer/est_wavs/1089-134686-0004_1284-1180-0027__T1__1089-1089-134686-0004__HSIMV3__8230-8230-279154-0039__SIRm5.wav,16000,73344,-4.987692036548433,17.178535762998976,22.166227799547407,-4.987692036548433,17.178535762998976,22.166227799547407,
1089-134686-0004_1284-1180-0027__T2__1284-1284-1180-0027__HSIMV3__4446-4446-2271-0005__SIRm5,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/mix_clean/1089-134686-0004_1284-1180-0027__T2__1284-1284-1180-0027__HSIMV3__4446-4446-2271-0005__SIRm5.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/s1/1089-134686-0004_1284-1180-0027__T2__1284-1284-1180-0027__HSIMV3__4446-4446-2271-0005__SIRm5.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/s2/1089-134686-0004_1284-1180-0027__T2__1284-1284-1180-0027__HSIMV3__4446-4446-2271-0005__SIRm5.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1284/1181/1284-1181-0013.flac,/data/tse_cue_project/diagnostics/real_tse_tfmap_context_20260607/bundles/tfmap_context_hsimv3_sirm5db/full_infer/est_wavs/1089-134686-0004_1284-1180-0027__T2__1284-1284-1180-0027__HSIMV3__4446-4446-2271-0005__SIRm5.wav,16000,52224,-4.642126720220751,14.298300969996516,18.940427690217263,-4.642126720220751,14.298300969996516,18.940427690217263,
